MATERIAL_NUMBER,MATERIAL_DESCRIPTION
000000005100984001,IL6 Elecsys MK F1
000000012237199001,DHEAS Elecsys F8 ML
000000009398325529,Cort Gen3 Elecsys MK F5 Serum
000000006592821001,CYFRA Elecsys CalCheck F4
000000006526179529,TG Gen2 Elecsys CalCheck F3
000000006980180529,GDF-15 Elecsys R1
000000009290095529,SARS-CoV2-S E2G 300 R1
000000008683379529,Streptavidin Assay Elecsys Bead Buf Fl.
000000006863965001,AMH Elecsys MK F9
000000008497940529,TROP-T HS Elecsys R2 V2
000000008171629001,IGFBP-3 Elecsys MK F1
000000009360867529,sBCMA Elecsys CalCheck F4
000000004348028001,C-PEPTIDE Elecsys F5 ML
000000005092191001,TROP-T HS Elecsys IKP F3
000000010674571967,Ab42p cRUO Elecsys MK F2
000000012205793001,NSE Elecsys F2 ML
000000009203397529,Anti-SARS-CoV-2 E2G 300 R1
000000012237687001,<HAV>IgM Elecsys F5 ML
000000010674423967,Ab42p cRUO Elecsys MVR Sto-Lsg Ctr
000000010653663529,<TPO> Gen3 Elecsys MK F4
000000011939483001,TROP-T Gen3 Elecsys F1 ML
000000006518486529,CT Elecsys R2
000000011967002001,<HBc>IgM Elecsys F5 ML
000000011988069001,TROPONIN-T Gen3 Elecsys F1 IKP
000000008714061001,EBV VCA IgG Elecsys MK F3
000000010674369967,Ab42p cRUO Elecsys MVR Sto-Lsg Cal
000000007360061529,tTau E2G 300 R1
000000007225954001,ISD SE Elecsys R1
000000009487999529,IFNg Elecsys Ctr 1
000000007967250001,<p53> Elecsys MK F2
000000009535080529,IFNg Elecsys CalCheck F4
000000008761981529,HBSAG Gen2 Elecsys R1 V2
000000007551924529,SA Coat-Bead Elecsys Vit.D total Gen2
000000008949522529,AFP-L3 Elecsys CalCheck F2
000000009556320001,FSH Elecsys ML F1 V2
000000008714037529,EBV VCA IgG Elecsys MK F2
000000010318422529,Dengue IgM Elecsys MK F6
000000009114670529,FT4 Gen4 Elecsys Cal 2
000000006615333001,TG Gen2.1 Elecsys MK F7
000000004869150001,FREE HCGB Elecsys R2
000000009069364529,SFLT1 Elecsys CalCheck F5
000000008227420529,PTH Gen2 Elecsys Cal 1
000000009014527001,sBCMA Elecsys MK F3
000000009495096001,IFNg Elecsys MK F4
000000009014535001,sBCMA Elecsys MK F4
000000005573882001,PTH (1-84) Elecsys MK F4
000000008949522001,AFP-L3 Elecsys CalCheck F2
000000009203486529,Anti-SARS-CoV-2 Elecsys Cal 2
000000008368996529,EBV IgM Elecsys Cal 2
000000012213699001,Digitoxin Elecsys ML3
000000005462711001,CK-MB Elecsys CalCheck F3
000000010407913529,PC THYRO AB G3 Elecsys Level 2
000000011897152001,HBsAg Elecsys F4 ML
000000009723862529,sTREM-1 Elecsys MK F5
000000009069607529,PLGF Elecsys CalCheck F2
000000009811028529,iTDM-B Cobas MS LeadCal F5
000000009495436529,TNT Gen6 Elecsys MK F4
000000008160678001,PIVKA-II Elecsys MK F6
000000009699791529,Anti-AAVrh74 E2G 100 R1
000000009495118001,IFNg Elecsys MK F5
000000009411275529,Cort Gen3 Elecsys R2
000000011968327529,Elecsys HBeAg Ctr 2
000000006980082529,Abeta42 Elecsys CalCheck F3
000000009734791529,GDF-15 RxDx Elecsys CalCheck F2
000000004873262529,FOLATE Gen3 Elecsys R2
000000008014477529,<HAV> Gen2.2 E2G 300 R2
000000012048400001,OSTEOC Elecsys ML F2
000000009685197529,PG II Elecsys MK F2
000000005462738001,CK-MB Elecsys CalCheck F5
000000011821318529,CA 72-4 Elecsys R2
000000009609113001,FT4 Gen4 E2G 100 R2
000000007360037529,tTau Elecsys R2
000000009636463001,TNT Gen6 Elecsys Blank Ctr
000000004680332529,PROL Gen2.1 Elecsys R1
000000009756418001,Dengue IgG Elecsys MK F4
000000007171960001,E2 Gen3 Elecsys CalCheck F1
000000009035567529,<HEV> IgM Elecsys R1
000000007235739529,SHBG E2G 100 R1
000000006518451001,B12 Gen2 Elecsys MK F4
000000008714029529,EBV VCA IgG Elecsys MK F1
000000008951675001,PCT Gen2 Elecsys MK F2
000000010165995529,cMyBP-C Elecsys MK F2
000000008495807529,<HBs> Gen2 E2G 300 R2 V2
000000008324123529,Folate Gen3 E2G 300 R2 V2
000000008922934529,PTH E2G 300 R2 V2
000000008870144001,CEA Elecsys Hook Probe
000000007547188529,Chagas Elecsys Ctr 2
000000004871804001,GPT LDH-Lyo-Verschnitt 10670570
000000010675438967,YKL 40 cRUO Elecsys MK F4
000000008171645529,IGFBP-3 Elecsys MK F3
000000009843787001,NFL Elecsys MK F4
000000009360824529,sBCMA Elecsys CalCheck F1
000000006885608529,PC HIV Gen2 Elecsys Level 3
000000009449302529,PCT Gen2 Elecsys IKP F8
000000010554401529,Anti-AAVLK03 Elecsys Ctr 2
000000010265612001,CA 242 Elecsys Hook Probe
000000007746890529,tTau Elecsys CalCheck F5
000000009751904529,pT181p Elecsys MK F4
000000009723528529,sTREM-1 Elecsys CalCheck F2
000000008336075529,HCV Duo M1 E2G 300 PT1
000000009867198001,Gastrin 17 Elecsys MK F2
000000009698035529,EBV EBNA IgG E2G 100 R2
000000007360142529,tTau Elecsys Cal 2
000000008171661001,IGFBP-3 Elecsys MK F5
000000010219076529,TnI hs Elecsys Ctr 1
000000010318406529,Dengue IgM Elecsys MK F4
000000007360355001,tTau Elecsys MK F1
000000011968688001,CK-MB Elecsys F3 IKP
000000006980309001,GDF-15 Elecsys MK F2
000000012152002001,B-CL Elecsys V-low
000000008503893529,Biotin Depletion Reagent Elecsys Lyo
000000005200466001,TROPONIN I Elecsys IKP F1
000000007102488001,GDF-15 Elecsys MK F8
000000009896368529,Dengue IgM E2G 100 R2
000000009393323001,CA 242 Elecsys MK F5
000000004786904001,<HBc> Elecsys R2 Gen2
000000009874283529,CA 50 Elecsys MK F6
000000006980066529,Abeta42 Elecsys CalCheck F1
000000009014497001,sBCMA Elecsys MK F2
000000012237873001,<HAV> Elecsys F6 ML
000000009035613529,<HEV> IgM E2G 300 R2
000000008913463529,<TPO> Gen2 Elecsys F6 ML V2
000000004869273001,FREE HCGB Elecsys MK F4
000000007547226001,Chagas Elecsys MK F1
000000010350385529,ApoE4 Gen2 Elecsys Cal 1
000000011892754001,Elecsys Anti-HBc R0
000000009345701529,<CMV> IGG Elecsys R2 V2
000000009290249529,SARS-CoV2-S Elecsys CalCheck F1
000000009555919529,FSH Gen2 Elecsys Cal 1 V3
000000009609644529,Chagas E2G 100 R2 V2
000000007469608529,IGF-1 Elecsys MK F6
000000009688056529,iTDM-C cobas MS Ctr 2 w/o value
000000008779597529,PROBNP Gen2 Elecsys R2 V2
000000009723641529,sTREM-1 Elecsys Cal 1
000000005034256001,<CMV> IGG Elecsys F5 MK
000000003139719001,<HCV> Elecsys R1
000000011988077001,TROPONIN-T Gen3 Elecsys F2 IKP
000000009606742529,Cort Gen3 Elecsys CalCheck F1 Speichel
000000008955212529,PCT Gen2 Elecsys Ctr 2
000000009557016001,LH Elecsys ML F3 V2
000000009021698001,<HEV> IgG Elecsys MK F4
000000012205190001,CAL-FAS-LIPID F-oSw
000000007231334529,HIV Duo M2 E2G 100 R2
000000005160405001,SFLT1 Elecsys F4 MK
000000005092264001,TROP-T HS Elecsys IKP F10
000000010674075967,NPTX 2 cRUO Elecsys MVR Sto-Lsg Ctr
000000005092337529,TROP-T Gen.5 Elecsys CalCheck F3
000000008227438529,PTH Gen2 Elecsys Cal 2
000000005094178529,TROPONIN I Elecsys Cal2
000000008806462529,AFP-L3 Elecsys MK F3
000000008922993529,S100 E2G 100 R2 V2
000000007231245529,HIV Duo M1 E2G 300 R1
000000009669663001,iISDA cobas MS Cal 1 w/o value
000000009687882001,iTDM-C cobas MS LeadCal F3
000000012203570001,<TPO> Elecsys V-high
000000007235631529,SFLT1 E2G 100 R1
000000009175164001,AFP E2G 300 R2 V2
000000005089735001,TROP-T Gen4 Elecsys CalCheck F2
000000010180935001,"PT RBT cobas t SR (B,A,C) 10102985"
000000008768501001,PC MC Gen2 Elecsys Level 2
000000005090725001,PCT Elecsys CalCheck F5
000000005898641529,CK-MB Gen4 Elecsys CalCheck F5
000000012017512001,Elecsys Insulin Cal 1
000000005462789001,HCG Elecsys CalCheck F2
000000004929683001,PROBNP Gen2 Elecsys CalCheck F4 high
000000007235364529,S100 E2G 100 R1
000000006887490001,AMH Elecsys CalCheck F2
000000007230630529,Cort Gen2 E2G 300 R2
000000009639462529,iTDM-B cobas MS Cal 1 w/o value
000000003140067001,HCG STAT II Elecsys R1
000000007232748001,HBeAg E2G 100 R2
000000009658203529,iIC cobas MS Level 1
000000005859468001,DHEAS Elecsys CalCheck F3
000000007564368001,Vit.D total Gen2 Elecsys CalCheck F4
000000005524202001,SHBG Elecsys CalCheck F5
000000007235119001,OSTEOC E2G 100 R1
000000010274565001,Abeta40 Elecsys Cal 2
000000008779406001,AFP-L3 E2G 100 R2
000000007551703001,Vit.D total Gen2 Elecsys PT2
000000004727827001,<TG> Elecsys Cal 1 Lyo
000000009604871529,iTDM-A Cobas MS LeadCal F5
000000009487123001,Syphilis Elecsys Release Control lq
000000006343538001,OSTEOC Elecsys CalCheck F3
000000007372035529,Free Conjugate Gen2 E2G
000000011897055001,Elecsys HBsAg Cal 1 neg
000000011963562001,<HBc>IgM Elecsys Cal 2 pos
000000003045021001,<TG> Elecsys R1
000000005877695001,CEA Elecsys CalCheck F4
000000003045285001,HCG STAT Elecsys Cal 2
000000009049525001,FSH E2G 300 R2 V2
000000010228911967,Abeta42P Elecsys E2G 100 RUO bx
000000007029926529,<HBs> Gen2 Elecsys Cal 1
000000011897446001,Elecsys Anti-HBs R1
000000008431175529,Biotin Cal 2
000000008768307001,ASD Elecsys CalCheck  F2
000000005996759001,IGE Elecsys CalCheck F4
000000012048361001,OSTEOC Elecsys Cal 2
000000004772881001,TSH Gen.2 Elecsys Cal2
000000009123083001,FT3 Gen3 Elecsys R1 V2
000000009583815001,TNT Gen6 E2G 300 R1
000000008683344529,Streptavidin Assay Elecsys R2 Elution
000000007235038001,IL6 E2G 100 R2
000000009604898529,iTDM-A Cobas MS LeadCal F7
000000009049517001,FSH Elecsys R2 V2
000000009811052001,iTDM-B Cobas MS LeadCal F8
000000003114945001,HCG+B-II Elecsys R1
000000008143943001,PIVKA-II E2G 300 R2
000000007374089001,<HBC> Gen2.2 Elecsys Cal 2
000000009811036001,iTDM-B Cobas MS LeadCal F6
000000004854926001,<HAV> Gen2 Elecsys Ctr 1
000000005546974001,FER Elecsys CalCheck F2
000000008779350001,AFP-L3 Elecsys PT1
000000007235011001,IL6 E2G 100 R1
000000009005340001,proGRP Elecsys R2 V2
000000009593225001,iTDM-A cobas MS Cal 2 w/o value
000000008349550529,IGFBP-7 Elecsys Ctr 2
000000007235810001,TBK E2G 100 R1
000000006885608001,PC HIV Gen2 Elecsys Level 3
000000012137160001,Elecsys CA 19-9 Calibrator low
000000009397949001,Cort Gen3 Elecsys Ctr 2 Urin
000000009487441001,PC HIV Gen2 Elecsys Release Control lq
000000009191283001,PRO-C3 Elecsys CalCheck F4
000000007229623001,ACTH E2G 100 R1
000000008474311001,<TSHR> Elecsys Cal 2 V2
000000007216416529,<TG> E2G 300 R2
000000009932895001,Dengue AG Elecsys Ctr 2
000000007217200529,E2 Gen3 E2G 300 R2
000000008324123001,Folate Gen3 E2G 300 R2 V2
000000009763945529,iTDM-A Cobas MS CalCheck F3 w/o value
000000009108963001,FT4 Gen4 Elecsys R2
000000005160243001,SFLT1 Elecsys R2
000000006518672001,CT Elecsys CalCheck F3
000000007217943001,PROBNP Gen2 E2G 100 R1
000000007374062001,<HBC> Gen2.2 Elecsys Cal 1
000000008341664529,IGFBP-7 Elecsys R1
000000007232497529,<CMV> IGM E2G 300 R2
000000004781872001,IgE Gen.1.1 Elecsys R1
000000007216912529,CA 72-4 E2G 300 R1
000000007233736001,Tacro E2G 300 R2
000000007551894001,Vit.D total Gen2 Elecsys R1
000000011967134001,<HBe> Elecsys R2
000000003370585001,SHBG Elecsys Cal 1
000000007217196001,E2 Gen3 E2G 100 R2
000000005537428001,PTH Elecsys CalCheck F4
000000008349916529,IGFBP-7 Elecsys Cal 5
000000004546113001,TROPONIN-T Elecsys R2 (200er)
000000005898641001,CK-MB Gen4 Elecsys CalCheck F5
000000012237563001,<HAV>IgM Elecsys Cal 2
000000004681266001,PROL Gen2 Elecsys Cal 1
000000007469373001,IGF-1 Elecsys CalCheck F1
000000010583410001,iTDM-A MPA cobas MS LeadCal F6 w/o value
000000009056122001,<TPO> Gen2 Elecsys CalCheck F1
000000009231137529,<HCV> Gen2 E2G 300 R1 V2
000000005898498001,CK-MB Gen4 Elecsys Cal 2
000000005092345001,TROP-T Gen.5 Elecsys CalCheck F4
000000009043632001,T3 Elecsys R1 V2
000000004873327001,FOLATE Gen3 Elecsys Cal 1
000000007218141529,PSA E2G 300 R2
000000009051317001,PTH (1-84) Elecsys R2 V2
000000009782494001,RUBELLA IGM Elecsys Ctr 2 V2
000000007360134001,tTau Elecsys Cal 1
000000008688095001,Active B12 E2G 300 R2 V2
000000006605664001,Cyclo Elecsys R2
000000005094399001,TROPONIN I Elecsys CalCheck F3
000000007217200001,E2 Gen3 E2G 300 R2
000000008908079001,<TPO> Gen2 Elecsys Cal 1 V2
000000009363181001,Chagas Elecsys R2 (200er) V2
000000007235836001,TBK E2G 100 R2
000000007234333529,DIGIT Gen3 E2G 100 R2
000000010286008001,pT217p Elecsys Ctr 2
000000011897063001,Elecsys HBsAg Cal 2 pos
000000009486534001,<HBC> Gen2.1 Elecsys Release Control
000000004954572001,RUBELLA IGG Elecsys CalCheck F4 high
000000012237555529,<HAV>IgM Elecsys Cal 1
000000007233264529,RUBELLA IGG E2G 300 R1
000000007218125529,PSA E2G 300 R1
000000009187090001,B-CL Elecsys R1 V2
000000009351469001,SARS-CoV-2 Ag Elecsys Ctr 2
000000007900929529,Active B12 E2G 100 R2
000000009763988001,iTDM-C cobas MS CalCheck F2 w/o value
000000007231245001,HIV Duo M1 E2G 300 R1
000000007250967529,"MULTI ASSAY E2G Dil 12,32 ml"
000000010158271967,pT181p PC Elecsys RUO bx int
000000006273912001,MYOGLOB Elecsys CalCheck F3
000000009042172001,PC Vit.D total G2 Elecsys Level 2 V2
000000007900937001,Active B12 E2G 300 R1
000000009353267001,HTLV Elecsys R2 V2
000000007551568001,Vit.D total Gen2 Elecsys Cal 2
000000011751964001,T3 Elecsys R2
000000007110090001,SCC Elecsys R2
000000009721673529,HIV Duo Gen2 M2 E2G 100 R2
000000007218036529,Prog Gen3 E2G 300 R1
000000007232390001,<CMV> IGG E2G 100 R2
000000004568427001,B12 Gen2 Elecsys V-medium
000000009345736529,<CMV> IGG E2G 100 R2 V2
000000009601490529,ApoE4 Elecsys Ctr 2
000000011968386001,HBeAG Elecsys F4 ML
000000007110391529,SCC Elecsys CalCheck F5
000000007232675001,FREE HCGB E2G 300 R2
000000007172079001,E2 Gen3 Elecsys MK F4
000000009932887529,Dengue AG Elecsys Ctr 1
000000009449302001,PCT Gen2 Elecsys IKP F8
000000007551649001,Vit.D total Gen2 Elecsys MK F5
000000008785813529,HIV Duo M2 E2G 300 R2 V2
000000011831992529,Elecsys Digoxin Calibr. high
000000012046857001,CA 125 Elecsys F7 ML
000000008728151529,sTfR IKP F4
000000009608907529,PSA E2G 100 R1 V2
000000008171653001,IGFBP-3 Elecsys MK F4
000000005090598001,PCT Elecsys IKP F3
000000005887500529,HE4 Elecsys R2
000000010526475529,TBK Gen2 Elecsys MK F4
000000005022444001,<CCP> Elecsys F2 MK
000000008115737529,HIV COMBI PT Elecsys R1 (200er)
000000008259623001,Zika IgG Elecsys MK F4
000000007178930001,HTLV Elecsys MK F3
000000007967250529,<p53> Elecsys MK F2
000000005043085001,TROP-T HS Elecsys MK F1
000000003139638001,MYOGLOB Elecsys Hook Probe
000000009393382529,CA 242 Elecsys R2
000000005887097529,HIV COMBI PT Elecsys Cal 1
000000010653680529,<TPO> Gen3 Elecsys MK F5
000000007547277001,Chagas Elecsys MK F4
000000008923051529,AMH E2G 100 R2 V2
000000009556842529,LH Elecsys CalCheck F2 V2
000000003044831001,DIL Elecsys f. E2/PROG
000000009343997529,<HBc> G2 quant Elecsys Cal 1
000000009723811529,sTREM-1 Elecsys MK F1
000000007226284529,PC ISD-E Elecsys Level 3
000000007900414001,Active B12 Elecsys MK F2
000000009744703529,pT181p Elecsys CalCheck F4
000000011751913001,PSA Elecsys F6 ML
000000009397655529,Cort Gen3 Elecsys MK F6 Urin
000000004711335001,TOXO IGG Elecsys F1 ML
000000010525991529,TBK Gen2 E2G 100 R2
000000011856243001,Elecsys Ferritin ML 1
000000009874267529,CA 50 Elecsys MK F4
000000009393285001,CA 242 Elecsys MK F1
000000009699678529,Anti-AAVrh74 Elecsys Cal 1
000000005090636001,PCT Elecsys IKP F6
000000004347994001,C-PEPTIDE Elecsys F2 ML
000000009014551001,sBCMA Elecsys MK F5
000000005142776001,PLGF Elecsys F2 MK
000000012002868001,HIV Ag Elecsys F2 ML
000000012046814001,CA 125 Elecsys F4 ML
000000009396152529,Cort Gen3 Elecsys MK F6 Speichel
000000008955115529,PCT Gen2 E2G 300 R2
000000003140202001,HBsAg Elecsys F6 IKP
000000007030169529,<HBs> Gen2 Elecsys R1 (200er)
000000006885586529,PC HIV Gen2 Elecsys Level 1
000000004478274529,T4 Gen2 Elecsys F4 ML
000000012003074001,IgE Elecsys F3 ML
000000011751956529,T3 Elecsys R1
000000008331391529,HCV Duo Elecsys Bulk Ctr 3
000000009721932529,HIV Duo Gen2 M2 Elecsys Cal 3
000000010660007529,<TPO> Gen3 Elecsys R1
000000004799534529,RUBELLA IGG Elecsys R2
000000009351582529,SARS-CoV-2 Ag Elecsys MK F6
000000005034213001,<CMV> IGG Elecsys F1 MK
000000003044521001,CA 15-3 Gen2 Elecsys F2 ML
000000008865884529,HIV COMBI PT Elecsys R2 V2
000000003333043001,S100 Elecsys F1 ML
000000009556877529,LH Elecsys CalCheck F4 V2
000000011837109001,Freies PSA Elecsys F6 ML
000000004348010001,C-PEPTIDE Elecsys F4 ML
000000011752421001,Elecsys FT4 R2
000000007967039001,HBSAG Gen2 Elecsys R1 (200er)
000000004572475001,PSA Gen2.1 Elecsys R2
000000004873432001,FOLATE Gen3 Elecsys F5 MK
000000007218214529,PTH E2G 100 R2
000000009786856529,SARS-COV-2 AG E2G 100 R2
000000012237113001,DHEAS Elecsys F1 ML
000000009024034529,Chikungunya IgG Elecsys R1
000000007233272529,RUBELLA IGG E2G 100 R2
000000006887538529,AMH Elecsys CalCheck F5
000000009608958529,HTLV E2G 100 R2 V2
000000009355707529,SFLT1 E2G 100 R2 V2
000000008913404001,<TPO> Gen2 Elecsys F1 ML V2
000000004869281001,FREE HCGB Elecsys MK F5
000000012237865001,<HAV> Elecsys F5 ML
000000011813285001,Prog Elecsys V-medium
000000010599642529,Lyme IgM Elecsys Ctr 2
000000008772410529,ASD Elecsys MK F4
000000009025685529,<HEV> IgG Elecsys CalCheck F5
000000011967134529,<HBe> Elecsys R2
000000005092221001,TROP-T HS Elecsys IKP F6
000000003139492001,C.f.a.s. PUC  F-OSW.
000000004655338001,IgE Elecsys F5 ML
000000009495053001,IFNg Elecsys MK F2
000000009608265529,AFP E2G 100 R2 V2
000000009608931529,PIVKA-II E2G 100 R2 V2
000000007746873529,tTau Elecsys CalCheck F4
000000009149368529,PIVKA II Elecsys CalCheck F2
000000006863892001,AMH Elecsys MK F4
000000008898332529,<TPO> Gen2 Elecsys R2
000000007240643001,"SA Coated Beads E2G 16,0 ml"
000000005383889001,PCU Gen2 Elecsys L1 F-oSw
000000009449078529,PCT Gen2 Elecsys IKP F1
000000007551592529,Vit.D total Gen2 Elecsys MK F1
000000004871782001,GOT LDH-Lyo-Verschnitt 10670561
000000007900074529,Active B12 Elecsys Ctr 2
000000009734805529,GDF-15 RxDx Elecsys CalCheck F3
000000007030690001,<HBs> Gen2 Elecsys R2 RT
000000004954548001,RUBELLA IGG Elecsys CalCheck F1
000000009013121529,sBCMA Elecsys R2
000000007564333529,Vit.D total Gen2 Elecsys CalCheck F1
000000009363181529,Chagas Elecsys R2 (200er) V2
000000005846609529,PC Varia 3 Elecsys Level 0
000000010166215529,Dengue IgM Elecsys Ctr 1
000000008913455529,<TPO> Gen2 Elecsys F5 ML V2
000000008728143001,sTfR IKP F3
000000004817184001,RUBELLA IGM Elecsys F3 MK
000000009535012529,IFNg Elecsys CalCheck F1
000000008714070529,EBV VCA IgG Elecsys MK F4
000000011888846001,E2 Gen2 Elecsys Cal 2
000000012151979001,B-CL Elecsys ML 6
000000006592805529,CYFRA Elecsys CalCheck F2
000000004478240529,T4 Gen2 Elecsys F3 ML
000000006863779529,AMH Elecsys Cal 1
000000012214431001,CA 72-4 Elecsys F2 ML
000000010081821001,DHEAS Gen2 Elecsys MK F2
000000010599634529,Lyme IgM Elecsys Ctr 1
000000007231784529,PCT E2G 300 R2
000000009843426529,NFL Elecsys Ctr 2
000000008363854529,EBV VCA IgG E2G 300 R2
000000008431221001,Biotin MK F3
000000009290087001,SARS-CoV2-S Elecsys MK F5
000000012163284001,Elecsys TG R2
000000005094224001,PC TROPONIN Elecsys Ctr1
000000007152906529,HTLV Elecsys R1 (200er)
000000008329699529,HCV Duo M2 E2G 300 R2
000000007735022001,CRP QC-Serum WR F2
000000009449248001,PCT Gen2 Elecsys IKP F4
000000006885594529,PC HIV Gen2 Elecsys Level 2
000000006980074529,Abeta42 Elecsys CalCheck F2
000000011751867001,PSA Elecsys F1 ML
000000005200474001,TROPONIN I Elecsys IKP F2
000000008951713001,PCT Gen2 Elecsys MK F3
000000009684689001,PG I Elecsys Bulk MK F3
000000007946279001,PCT Elecsys IKP F9 QC
000000004962745001,<TSHR> Elecsys F5 MK
000000009487301529,PC HTLV Elecsys Level 2 lq
000000009396101529,Cort Gen3 Elecsys MK F1 Speichel
000000011968297529,Elecsys HBeAg Cal 2 pos
000000008133000529,IGFBP-3 Elecsys CalCheck F4
000000003333264001,FT3 Gen2 Elecsys F4 ML
000000008171661529,IGFBP-3 Elecsys MK F5
000000009038299529,<HEV> IgG E2G 300 R1
000000010554398529,Anti-AAVLK03 Elecsys Ctr 1
000000008781923529,pTau E2G 100 R2 V2
000000009175164529,AFP E2G 300 R2 V2
000000009487409529,PC HIV Gen2 Elecsys Level 2 lq
000000007230907001,free PSA II E2G 300 R2
000000004873424001,FOLATE Gen3 Elecsys F4 MK
000000009487891529,IFNg Elecsys R1 (200er)
000000008127808529,Abeta42 E2G 100 R1
000000007551614529,Vit.D total Gen2 Elecsys MK F3
000000004472969529,FT4 Gen2 Elecsys F4 ML
000000009685219529,PG II Elecsys MK F3
000000008363803529,EBV VCA IgG Elecsys R1
000000004538129001,<TG> Gen.2 Elecsys F2 ML
000000009744886529,pT181p Elecsys Cal 1
000000009449272001,PCT Gen2 Elecsys IKP F6
000000007967284001,<p53> Elecsys MK F5
000000009950427529,Dengue AG E2G 100 R2
000000009608826529,T4 Gen2 E2G 100 R1 V2
000000009339230529,<HBc> G2 quant Elecsys Ctr 1
000000008727996529,sTfR Gen2 Ctr 2
000000005092345529,TROP-T Gen.5 Elecsys CalCheck F4
000000011897578001,<HBs> Elecsys F4 ML
000000007231253529,HIV Duo M1 E2G 100 R2
000000009051163529,CT Elecsys R2 V2
000000011050028001,CK-MM(human) F-OSW
000000009289925001,SARS-CoV2-S Elecsys MK F1
000000007231679529,NSE E2G 100 R1
000000009608222529,<TSHR> E2G 100 R2 V2
000000004962613001,<TSHR> Elecsys Cal 2
000000007232110001,VITAMIN D total E2G 300 PT2
000000006863914001,AMH Elecsys MK F5
000000007946252001,PCT Elecsys IKP F8 QC
000000010675446967,YKL 40 cRUO Elecsys MK F5
000000008688052529,Active B12 Elecsys R2 V2
000000008331375529,HCV Duo Elecsys Bulk Ctr 2
000000004490533529,ACTH Elecsys R1
000000008160732529,PIVKA-II Elecsys Cal 2
000000004962729001,<TSHR> Elecsys F3 MK
000000006343406001,CA 15-3 Elecsys CalCheck F4
000000007218311529,T3 E2G 300 R2
000000004462661001,PSA Gen2.1 Elecsys Cal2
000000006430813001,FT4 Gen2 Elecsys R1
000000007217374529,FOLATE Gen3 E2G 300 R2
000000009820850001,<HBs> Gen3 E2G 300 R1
000000009363190001,Chagas E2G 300 R2 V2
000000012237369001,Elecsys DHEAS R2
000000009638423001,iSV Cobas MS Cal 2 w/o value
000000007187904001,Prog Gen3 Elecsys R1
000000007187769001,Prog Gen3 Elecsys CalCheck F5
000000005963559001,HGH Elecsys CalCheck F4
000000007152868001,PC HTLV Elecsys Level 2
000000008014183001,<HAV> Gen2.2 Elecsys R1
000000007217978001,PROBNP Gen2 E2G 300 R2
000000007229895001,<HBC> Gen2.2 E2G 100 R1 V2
000000011753860001,Elecsys T4 Cal 2
000000005462827001,HCG Elecsys CalCheck F4
000000009042768001,Vit.D total Gen3 Elecsys R1
000000009687998001,iTDM-C cobas MS Cal 1 w/o value
000000005507570001,PROL Gen2 Elecsys CalCheck F3
000000005877687001,CEA Elecsys CalCheck F3
000000007216564001,B12 E2G 100 R1 V2
000000008507341001,ASD Elecsys R1
000000007216815001,CA 19-9 E2G 100 R1
000000003140075001,HCG STAT II Elecsys R2
000000009721584001,HIV Duo Gen2 M1 E2G 300 R1
000000007216572001,B12 E2G 300 R1 V2
000000008778426001,PCT Elecsys R2 V2
000000011968629001,T4 Gen2 Elecsys R1
000000007564350001,Vit.D total Gen2 Elecsys CalCheck F3
000000009932887001,Dengue AG Elecsys Ctr 1
000000007551711529,Vit.D total Gen2 E2G 100 PT1
000000009733612001,iSV Cobas MS LeadCal F0
000000003139832001,<HCV> Elecsys Ctr 1
000000009085874001,PRO-C3 Elecsys Cal 2
000000009023941001,<HEV> IgG Elecsys Ctr 2
000000007234333001,DIGIT Gen3 E2G 100 R2
000000005887534001,HE4 Elecsys Cal 1
000000008363951001,EBV VCA IgG Elecsys Cal 1
000000005034167001,<CMV> IGG Elecsys Ctr 1
000000008683336001,Streptavidin Assay Elecsys R2
000000009051287001,ACTH Elecsys R2 V2
000000005991226001,HSV-2 IGG Elecsys Cal 2
000000004991800001,<TSHR> Elecsys CalCheck F5
000000004989538001,<HBC> Gen2.1 Elecsys Ctr 2
000000009721568001,HIV Duo Gen2 M1 E2G 100 R1
000000007216394001,<TG> E2G 300 R1
000000007900872001,Active B12 Elecsys R2
000000007217765529,HCG+B Gen2 E2G 100 R1
000000009609636001,CEA Gen2 E2G 100 R1
000000007371985529,CellCheck Gen2 E2G
000000008497923001,TROP-T HS Elecsys R1 V2
000000005573998001,PTH (1-84) Elecsys CalCheck F5
000000008329672001,HCV Duo M2 E2G 300 R1
000000005537398001,PTH Elecsys CalCheck F1
000000007233981001,TOXO IGM E2G 100 R2
000000007230885529,free PSA II E2G 300 R1
000000007668830001,HIV Duo M2 Elecsys Cal 3
000000007171919001,E2 Gen3 Elecsys R1
000000007547153529,Chagas Elecsys Cal 2
000000009191330001,PTH (1-84) E2G 100 R1 V2
000000009733639529,iSV Cobas MS LeadCal F1
000000007217439529,FOLATE Gen3 E2G 300 PT1
000000008431159001,Biotin SV Cal 1
000000009848240001,iSV Cobas MS CalCheck F5 w/o value
000000004962648001,PC THYRO AB Elecsys Ctr 1
000000008762007001,HBSAG Gen2 Elecsys R1 (200er) V2
000000009607536529,Vit.D total Gen3 E2G 100 R1
000000012213591001,Digitoxin Elecsys R2
000000007232110529,VITAMIN D total E2G 300 PT2
000000004546091001,FERRITIN Elecsys R2 (200er)
000000004874137001,FOLATE Gen3 Elecsys PT1
000000008472068001,<TSHR> E2G 300 R2 V2
000000006270611001,T3 Elecsys CalCheck F4
