MATERIAL_NUMBER,MATERIAL_DESCRIPTION
000000011813269001,Prog Elecsys V-low
000000009174729529,HSV-2 IGG Elecsys R2 V2
000000007110359529,SCC Elecsys CalCheck F2
000000008806616529,PC HCC Elecsys Level 1 V2
000000008379432529,HIV COMBI PT Elecsys Cal 1 Lyo
000000011198866001,PN-HDL REFLO F2
000000008908087529,<TPO> Gen2 Elecsys Cal 2 V2
000000009232184529,PIVKA-II Elecsys R2 V2
000000009397566529,Cort Gen3 Elecsys MK F2 Urin
000000009843787529,NFL Elecsys MK F4
000000007231865529,PROL Gen2.1 E2G 100 R2
000000009556036529,FSH Elecsys V-medium V2
000000004681711001,ACTH Elecsys F4 MK
000000008710651529,EBV EBNA IgG Elecsys MK F6
000000012237679001,<HAV>IgM Elecsys F4 ML
000000004817303001,TG Gen2 Elecsys F5 ML
000000010219327529,TnI hs Elecsys MK F1
000000009843809529,NFL Elecsys MK F5
000000009721720529,HIV Duo Gen2 M2 E2G 300 R2
000000005054176001,<CMV> IGM Elecsys F4 MK
000000009874275529,CA 50 Elecsys MK F5
000000007216564529,B12 E2G 100 R1 V2
000000009606980529,Cort Gen3 Elecsys CalCheck F4  Serum
000000010653639529,<TPO> Gen3 Elecsys MK F3
000000009396390529,Cort Gen3 Elecsys Cal 2 Serum
000000006431364529,FT3 Gen3 Elecsys R1
000000009175067529,Chikungunya IgG Elecsys MK F1
000000005462720001,CK-MB Elecsys CalCheck F4
000000009811052529,iTDM-B Cobas MS LeadCal F8
000000007358580001,pTau Elecsys MK F6
000000010674091967,NPTX 2 cRUO Elecsys Bulk Ctr 2
000000004680359529,PROL Gen2.1 Elecsys R2
000000004711343001,TOXO IGG Elecsys F2 ML
000000006512283529,Cort Gen2 Elecsys Urin Ctr 1
000000004681444001,PROL Gen2 Elecsys F7 ML
000000005092248001,TROP-T HS Elecsys IKP F8
000000009606190529,ApoE4 Elecsys MK F5
000000004873459001,FOLATE Gen3 Elecsys F6 MK
000000008901546529,PC THYRO AB G2 Elecsys Level 2
000000008727996001,sTfR Gen2 Ctr 2
000000003370658001,SHBG Elecsys F6 ML
000000009023933529,<HEV> IgG Elecsys Ctr 1
000000010653779529,<TPO> Gen3 E2G 100 R2
000000009031995529,<HEV> IgM Elecsys Cal 2
000000010081708529,DHEAS Gen2 Elecsys Cal 2
000000009486526529,HBsAg Elecsys Release Control
000000008951748001,PCT Gen2 Elecsys MK F5
000000004472896529,FT4 Gen2 Elecsys F1 ML
000000009050850529,FT3 Gen3 E2G 300 R2 V2
000000009351558001,SARS-CoV-2 Ag Elecsys MK F3
000000005142814001,PLGF Elecsys F6 MK
000000011968726001,CK-MB Elecsys F7 IKP
000000009397566001,Cort Gen3 Elecsys MK F2 Urin
000000009608192529,<TPO> Gen2 E2G 100 R1
000000005160375001,SFLT1 Elecsys F1 MK
000000006863868001,AMH Elecsys MK F1
000000004830270001,<TPO> GEN2 Elecsys MK F5
000000010766697529,<CCP> Elecsys MK F5 V2
000000012214652001,Cortisol Elecsys F7 ML
000000004489144529,proBNP TS Ctr. high / Level 2
000000007358539529,pTau Elecsys MK F1
000000010274727529,Abeta40 Elecsys MK F5
000000007900473529,Active B12 Elecsys MK F5
